,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,name,siren,in pipe ?,web,ban,linke
57,57,57,57,CCR GROUPE - CAISSE CENTRALE DE REASSURANCE,300345436,Not in Pipe,https://www.ccr.fr/,False,https://fr.linkedin.com/company/ccr-caisse-centrale-de-reassurance
58,58,58,58,MALAKOFF MEDERIC HUMANIS,853995249,Not in Pipe,http://www.malakoffmederic.com/index.jsp/particuliers/retraite-epargne/index.jsp,False,https://fr.linkedin.com/company/mmhumanis
59,59,59,59,MERCER,800529422,Not in Pipe,https://www.mercer.fr/,False,https://fr.linkedin.com/company/mercer
60,60,60,60,MALAKOFF MEDERIC HUMANIS,853995249,Not in Pipe,http://www.malakoffmederic.com/index.jsp/particuliers/retraite-epargne/index.jsp,False,https://fr.linkedin.com/company/mmhumanis
61,61,61,61,GENERALI,510112352,Not in Pipe,https://www.generali.fr/,False,https://fr.linkedin.com/company/generali
62,62,62,62,CGPA,845113059,Not in Pipe,https://www.cgpa.fr/,False,https://fr.linkedin.com/company/cgpa
63,63,63,63,APICIL,789861143,Not in Pipe,https://mon.apicil.com/,False,https://www.linkedin.com/company/apicil
64,64,64,64,ADREA MUTUELLE,311799878,In Pipe,https://www.adrea.fr/,False,https://fr.linkedin.com/company/adrea-mutuelle
65,65,65,65,QUARTUS,447983933,Not in Pipe,https://groupe-quartus.com/,False,https://fr.linkedin.com/company/quartus
66,66,66,66,GENERALI,510112352,Not in Pipe,https://www.generali.fr/,False,https://fr.linkedin.com/company/generali
67,67,67,67,AVIVA,840256432,Not in Pipe,https://www.aviva.fr/conseils-en-assurance/mes-demarches/espace-client-Aviva-et-moi.html,False,https://fr.linkedin.com/company/aviva-plc
68,68,68,68,MUTUELLE INTEGRANCE  GROUPE APICIL,340359900,In Pipe,erreur,False,https://www.linkedin.com/company/mutuelleintegrance
69,69,69,69,SOLEAS COURTAGE,487702334,Not in Pipe,https://www.soleas.fr/,False,https://fr.linkedin.com/company/soleas-courtage
70,70,70,70,EOVI MCD MUTUELLE,317442176,Not in Pipe,https://www.espace-particuliers.eovi-mcd-mutuelle.fr/login,False,https://fr.linkedin.com/company/eovi-mcd
71,71,71,71,SADA ASSURANCES,555850411,Not in Pipe,http://www.sada.fr/,False,https://fr.linkedin.com/company/sada-assurances
72,72,72,72,LA FRANCE MUTUALISTE,335043147,Not in Pipe,https://www.la-france-mutualiste.fr/,False,https://fr.linkedin.com/company/la-france-mutualiste
73,73,73,73,SANTEVET,418698445,Not in Pipe,erreur,False,https://www.linkedin.com/company/sant-vet
74,74,74,74,COFACE,851127142,Not in Pipe,https://www.coface.fr/,False,https://www.linkedin.com/company/coface
75,75,75,75,GROUPE B2V,529211997,Not in Pipe,https://www.b2v.fr/le-groupe-b2v,False,https://fr.linkedin.com/company/b2v-group
76,76,76,76,GROUPE SMA,421108697,In Pipe,https://www.groupe-sma.fr/SGM/jcms/jizhrect_26053/fr/mentions-legales,False,https://fr.linkedin.com/company/groupe-sma
77,77,77,77,SOLIDARIS NAMUR,497602391,Not in Pipe,http://www.solidaris.be/Namur,False,https://fr.linkedin.com/company/solidaris-mutualit%C3%A9-province-de-namur
78,78,78,78,FRANCE MUTUELLE,800820029,Not in Pipe,https://www.francemutuelle.fr/,False,https://fr.linkedin.com/company/la-france-mutualiste
79,79,79,79,SPB GROUP,853217503,Not in Pipe,https://www.spb.eu/fr/,False,https://fr.linkedin.com/company/spb-group
